Serial no;Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event
0;1;00:01:40.910000;David Rudisha;KEN;17.12.1988;1.0;London;08.09.2012;Men;800 m
1;2;00:01:41.010000;David Rudisha;KEN;17.12.1988;1.0;Rieti;29.08.2010;Men;800 m
2;3;00:01:41.090000;David Rudisha;KEN;17.12.1988;1.0;Berlin;22.08.2010;Men;800 m
3;4;00:01:41.110000;Wilson Kipketer;DEN;12.12.1970;1.0;Köln;24.08.1997;Men;800 m
4;5;00:01:41.240000;Wilson Kipketer;DEN;12.12.1970;1.0;Zürich;13.08.1997;Men;800 m
5;6;00:01:41.330000;David Rudisha;KEN;17.12.1988;1.0;Rieti;09.10.2011;Men;800 m
6;7;00:01:41.510000;David Rudisha;KEN;17.12.1988;1.0;Heusden-Zolder;07.10.2010;Men;800 m
7;8;00:01:41.540000;David Rudisha;KEN;17.12.1988;1.0;Saint-Denis;07.06.2012;Men;800 m
8;9;00:01:41.730000;Sebastian Coe;GBR;29.09.1956;1.0;Firenze;06.10.1981;Men;800 m
9;9;00:01:41.730000;Wilson Kipketer;DEN;12.12.1970;1.0;Stockholm;07.07.1997;Men;800 m
10;9;00:01:41.730000;Nijel Amos;BOT;15.03.1994;2.0;London;08.09.2012;Men;800 m
11;12;00:01:41.740000;David Rudisha;KEN;17.12.1988;1.0;New York City;06.09.2012;Men;800 m
12;13;00:01:41.770000;Joaquim Cruz;BRA;12.03.1963;1.0;Köln;26.08.1984;Men;800 m
13;14;00:01:41.830000;Wilson Kipketer;DEN;12.12.1970;1.0;Rieti;09.01.1996;Men;800 m
14;15;00:01:42.010000;David Rudisha;KEN;17.12.1988;1.0;Rieti;09.06.2009;Men;800 m
15;16;00:01:42.040000;David Rudisha;KEN;17.12.1988;1.0;Oslo;06.04.2010;Men;800 m
16;17;00:01:42.120000;David Rudisha;KEN;17.12.1988;1.0;Nairobi;23.06.2012;Men;800 m
17;18;00:01:42.150000;David Rudisha;KEN;17.12.1988;1.0;Rio de Janeiro;15.08.2016;Men;800 m
18;19;00:01:42.170000;Wilson Kipketer;DEN;12.12.1970;1.0;Tokyo;16.09.1996;Men;800 m
19;20;00:01:42.200000;Wilson Kipketer;DEN;12.12.1970;1.0;Bruxelles;22.08.1997;Men;800 m
20;21;00:01:42.230000;Abubaker Kaki Khamis;SUD;21.06.1989;2.0;Oslo;06.04.2010;Men;800 m
21;22;00:01:42.270000;Wilson Kipketer;DEN;12.12.1970;1.0;Bruxelles;09.03.1999;Men;800 m
22;23;00:01:42.280000;Sammy Koskei;KEN;14.05.1961;2.0;Köln;26.08.1984;Men;800 m
23;24;00:01:42.320000;Wilson Kipketer;DEN;12.12.1970;1.0;Rieti;09.08.2002;Men;800 m
24;25;00:01:42.330000;Sebastian Coe;GBR;29.09.1956;1.0;Oslo;07.05.1979;Men;800 m
25;26;00:01:42.340000;Joaquim Cruz;BRA;12.03.1963;1.0;Zürich;22.08.1984;Men;800 m
26;26;00:01:42.340000;Wilfred Bungei;KEN;24.07.1980;2.0;Rieti;09.08.2002;Men;800 m
27;28;00:01:42.370000;Mohammed Aman;ETH;10.01.1994;1.0;Bruxelles;09.06.2013;Men;800 m
28;29;00:01:42.410000;Joaquim Cruz;BRA;12.03.1963;1.0;Bruxelles;24.08.1984;Men;800 m
29;30;00:01:42.450000;Nijel Amos;BOT;15.03.1994;1.0;Monaco;18.07.2014;Men;800 m
30;31;00:01:42.470000;Yuriy Borzakovskiy;RUS;12.04.1981;1.0;Bruxelles;24.08.2001;Men;800 m
31;32;00:01:42.490000;Joaquim Cruz;BRA;12.03.1963;1.0;Koblenz;28.08.1985;Men;800 m
32;33;00:01:42.510000;Wilson Kipketer;DEN;12.12.1970;1.0;Nice;07.10.1996;Men;800 m
33;33;00:01:42.510000;Amel Tuka;BIH;09.01.1991;1.0;Monaco;17.07.2015;Men;800 m
34;35;00:01:42.520000;Wilfred Bungei;KEN;24.07.1980;1.0;Bruxelles;09.05.2003;Men;800 m
35;36;00:01:42.530000;Timothy Kitum;KEN;20.11.1994;3.0;London;08.09.2012;Men;800 m
36;36;00:01:42.530000;Mohammed Aman;ETH;10.01.1994;1.0;Zürich;30.08.2012;Men;800 m
37;36;00:01:42.530000;Pierre-Ambroise Bosse;FRA;11.05.1992;2.0;Monaco;18.07.2014;Men;800 m
38;39;00:01:42.540000;Joaquim Cruz;BRA;12.03.1963;1.0;Köln;25.08.1985;Men;800 m
39;40;00:01:42.550000;André Bucher;SUI;19.10.1976;1.0;Zürich;17.08.2001;Men;800 m
40;41;00:01:42.570000;Wilson Kipketer;DEN;12.12.1970;1.0;Monaco;08.04.1999;Men;800 m
41;42;00:01:42.580000;Vebjørn Rodal;NOR;16.09.1972;1.0;Atlanta;31.07.1996;Men;800 m
