Serial no;Year;City;Sport;Discipline;Athlete;Country;Gender;Event;Medal
0;1924;Chamonix;Biathlon;Biathlon;BERTHET, G.;FRA;Men;Military Patrol;Bronze
1;1924;Chamonix;Biathlon;Biathlon;MANDRILLON, C.;FRA;Men;Military Patrol;Bronze
2;1924;Chamonix;Biathlon;Biathlon;MANDRILLON, Maurice;FRA;Men;Military Patrol;Bronze
3;1924;Chamonix;Biathlon;Biathlon;VANDELLE, André;FRA;Men;Military Patrol;Bronze
4;1924;Chamonix;Biathlon;Biathlon;AUFDENBLATTEN, Adolf;SUI;Men;Military Patrol;Gold
5;1924;Chamonix;Biathlon;Biathlon;JULEN, Alphonse;SUI;Men;Military Patrol;Gold
6;1924;Chamonix;Biathlon;Biathlon;JULEN, Ant.;SUI;Men;Military Patrol;Gold
7;1924;Chamonix;Biathlon;Biathlon;VAUCHER, D.;SUI;Men;Military Patrol;Gold
8;1924;Chamonix;Biathlon;Biathlon;BREMER, V.E.;FIN;Men;Military Patrol;Silver
9;1924;Chamonix;Biathlon;Biathlon;ESKELINEN, A.;FIN;Men;Military Patrol;Silver
10;1924;Chamonix;Biathlon;Biathlon;HIRVONEN, H.;FIN;Men;Military Patrol;Silver
11;1924;Chamonix;Biathlon;Biathlon;LAPPALAINEN, Martti;FIN;Men;Military Patrol;Silver
12;1924;Chamonix;Bobsleigh;Bobsleigh;MORTIAUX, René;BEL;Men;Four-Man;Bronze
13;1924;Chamonix;Bobsleigh;Bobsleigh;MULDER, Charles;BEL;Men;Four-Man;Bronze
14;1924;Chamonix;Bobsleigh;Bobsleigh;VAN DEN BROECK, Paul;BEL;Men;Four-Man;Bronze
15;1924;Chamonix;Bobsleigh;Bobsleigh;VERSCHUEREN, Victor;BEL;Men;Four-Man;Bronze
16;1924;Chamonix;Bobsleigh;Bobsleigh;WILLIEMS, Henri;BEL;Men;Four-Man;Bronze
17;1924;Chamonix;Bobsleigh;Bobsleigh;NEVEU, Alfred;SUI;Men;Four-Man;Gold
18;1924;Chamonix;Bobsleigh;Bobsleigh;SCHERRER, Eduard;SUI;Men;Four-Man;Gold
19;1924;Chamonix;Bobsleigh;Bobsleigh;SCHLÄPPI, Alfred;SUI;Men;Four-Man;Gold
20;1924;Chamonix;Bobsleigh;Bobsleigh;SCHLÄPPI, Heinrich;SUI;Men;Four-Man;Gold
21;1924;Chamonix;Bobsleigh;Bobsleigh;ARNOLD, Thomas;GBR;Men;Four-Man;Silver
22;1924;Chamonix;Bobsleigh;Bobsleigh;BROOME, Ralpf;GBR;Men;Four-Man;Silver
23;1924;Chamonix;Bobsleigh;Bobsleigh;RICHARDSON, Alexander;GBR;Men;Four-Man;Silver
24;1924;Chamonix;Bobsleigh;Bobsleigh;SOHER, Rodney;GBR;Men;Four-Man;Silver
25;1924;Chamonix;Curling;Curling;ALDEERT, H.;FRA;Men;Curling;Bronze
26;1924;Chamonix;Curling;Curling;ANDRE, Georges;FRA;Men;Curling;Bronze
27;1924;Chamonix;Curling;Curling;BENEDIC;FRA;Men;Curling;Bronze
28;1924;Chamonix;Curling;Curling;CANIVET, P.;FRA;Men;Curling;Bronze
29;1924;Chamonix;Curling;Curling;COURNOLLET, F.;FRA;Men;Curling;Bronze
30;1924;Chamonix;Curling;Curling;PLANQUE, R.;FRA;Men;Curling;Bronze
31;1924;Chamonix;Curling;Curling;AIKMAN, T.;GBR;Men;Curling;Gold
32;1924;Chamonix;Curling;Curling;ASTLEY, D.-G.;GBR;Men;Curling;Gold
33;1924;Chamonix;Curling;Curling;BROWN, V.;GBR;Men;Curling;Gold
34;1924;Chamonix;Curling;Curling;COUSIN, R.;GBR;Men;Curling;Gold
35;1924;Chamonix;Curling;Curling;JACKSON, V.-K.;GBR;Men;Curling;Gold
36;1924;Chamonix;Curling;Curling;MC LEOD, J.;GBR;Men;Curling;Gold
37;1924;Chamonix;Curling;Curling;MURRAY, T.-B.;GBR;Men;Curling;Gold
38;1924;Chamonix;Curling;Curling;WELSH, R.;GBR;Men;Curling;Gold
39;1924;Chamonix;Curling;Curling;AHLEN, J.P.;SWE;Men;Curling;Silver
40;1924;Chamonix;Curling;Curling;KRONLUND, Carl Augustus Verner;SWE;Men;Curling;Silver
41;1924;Chamonix;Curling;Curling;ODLUND, T.-M.;SWE;Men;Curling;Silver
42;1924;Chamonix;Curling;Curling;PETERSEN, C.-W.;SWE;Men;Curling;Silver
43;1924;Chamonix;Curling;Curling;PETTERSSON, C.-A.-F.;SWE;Men;Curling;Silver
44;1924;Chamonix;Curling;Curling;SEVERIN, E.-O.;SWE;Men;Curling;Silver
45;1924;Chamonix;Curling;Curling;WAHLBERG, K.-E.;SWE;Men;Curling;Silver
46;1924;Chamonix;Curling;Curling;WETTERSTROM, V.-E.;SWE;Men;Curling;Silver
47;1924;Chamonix;Ice Hockey;Ice Hockey;ANDERSON, William;GBR;Men;Ice Hockey;Bronze
48;1924;Chamonix;Ice Hockey;Ice Hockey;BOULDEN, C.-B.;GBR;Men;Ice Hockey;Bronze
49;1924;Chamonix;Ice Hockey;Ice Hockey;CARR-HARRIS, Louis Howland;GBR;Men;Ice Hockey;Bronze
50;1924;Chamonix;Ice Hockey;Ice Hockey;CARRUTHERS, Colin Gordon;GBR;Men;Ice Hockey;Bronze
51;1924;Chamonix;Ice Hockey;Ice Hockey;CARRUTHERS, Eric Dudley;GBR;Men;Ice Hockey;Bronze
52;1924;Chamonix;Ice Hockey;Ice Hockey;CLARKSON, Guy E.;GBR;Men;Ice Hockey;Bronze
53;1924;Chamonix;Ice Hockey;Ice Hockey;CUTHBERT, Ross George;GBR;Men;Ice Hockey;Bronze
54;1924;Chamonix;Ice Hockey;Ice Hockey;HOLMES, George;GBR;Men;Ice Hockey;Bronze
55;1924;Chamonix;Ice Hockey;Ice Hockey;JUKES, Hamilton;GBR;Men;Ice Hockey;Bronze
56;1924;Chamonix;Ice Hockey;Ice Hockey;PATTON, B.-N.;GBR;Men;Ice Hockey;Bronze
57;1924;Chamonix;Ice Hockey;Ice Hockey;PITBLADO, Edward;GBR;Men;Ice Hockey;Bronze
58;1924;Chamonix;Ice Hockey;Ice Hockey;SEXTON, Blane Nathaniel;GBR;Men;Ice Hockey;Bronze
59;1924;Chamonix;Ice Hockey;Ice Hockey;CAMERON, Jack;CAN;Men;Ice Hockey;Gold
60;1924;Chamonix;Ice Hockey;Ice Hockey;COLLETT, Ernest J.;CAN;Men;Ice Hockey;Gold
61;1924;Chamonix;Ice Hockey;Ice Hockey;MAC CAFFERY, Albert;CAN;Men;Ice Hockey;Gold
62;1924;Chamonix;Ice Hockey;Ice Hockey;MAC MUNN, Harold;CAN;Men;Ice Hockey;Gold
63;1924;Chamonix;Ice Hockey;Ice Hockey;MUNRO, Duncan;CAN;Men;Ice Hockey;Gold
64;1924;Chamonix;Ice Hockey;Ice Hockey;RAMSAY, W.-Beattie;CAN;Men;Ice Hockey;Gold
65;1924;Chamonix;Ice Hockey;Ice Hockey;SLATER, Cyril;CAN;Men;Ice Hockey;Gold
66;1924;Chamonix;Ice Hockey;Ice Hockey;SMITH, Reginald;CAN;Men;Ice Hockey;Gold
67;1924;Chamonix;Ice Hockey;Ice Hockey;WATSON, Harry;CAN;Men;Ice Hockey;Gold
68;1924;Chamonix;Ice Hockey;Ice Hockey;ABEL, Clarence John;USA;Men;Ice Hockey;Silver
69;1924;Chamonix;Ice Hockey;Ice Hockey;DRURY, Herbert L.;USA;Men;Ice Hockey;Silver
70;1924;Chamonix;Ice Hockey;Ice Hockey;GERAN, N.;USA;Men;Ice Hockey;Silver
71;1924;Chamonix;Ice Hockey;Ice Hockey;LACROIX, Alphonse;USA;Men;Ice Hockey;Silver
72;1924;Chamonix;Ice Hockey;Ice Hockey;LANGLEY, John Arthur;USA;Men;Ice Hockey;Silver
73;1924;Chamonix;Ice Hockey;Ice Hockey;LYONS, John Sharkey;USA;Men;Ice Hockey;Silver
74;1924;Chamonix;Ice Hockey;Ice Hockey;MAC CARTHY, Justin;USA;Men;Ice Hockey;Silver
75;1924;Chamonix;Ice Hockey;Ice Hockey;RICE, Willard;USA;Men;Ice Hockey;Silver
76;1924;Chamonix;Ice Hockey;Ice Hockey;SMALL, Irving Wheeler;USA;Men;Ice Hockey;Silver
77;1924;Chamonix;Ice Hockey;Ice Hockey;SYNNOTT, Francis Allen;USA;Men;Ice Hockey;Silver
78;1924;Chamonix;Skating;Figure skating;GAUTSCHI, Georges;SUI;Men;Individual;Bronze
79;1924;Chamonix;Skating;Figure skating;GRAFSTRÖM, Gillis;SWE;Men;Individual;Gold
80;1924;Chamonix;Skating;Figure skating;BÖCKL, Willy;AUT;Men;Individual;Silver
81;1924;Chamonix;Skating;Figure skating;MUCKELT, Ethel;GBR;Women;Individual;Bronze
82;1924;Chamonix;Skating;Figure skating;SZABO-PLANK, Herma;AUT;Women;Individual;Gold
